Kasper Scmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition XG,,,,,,,,,,,,,,,,,,,
2021-08-14,Home,W 1–0,Leicester City,Wolves,3,0,3,100,1,0.3,1.1,,,,,,,,,,,,,,,,,,,
2021-08-23,Away,L 1–4,Leicester City,West Ham,7,4,3,42.9,0,3.4,2.5,,,,,,,,,,,,,,,,,,,
2021-08-28,Away,W 2–1,Leicester City,Norwich City,3,1,3,100,0,1.1,1.6,,,,,,,,,,,,,,,,,,,
2021-09-11,Home,L 0–1,Leicester City,Manchester City,8,1,7,87.5,0,1.3,2.9,,,,,,,,,,,,,,,,,,,
2021-09-19,Away,L 1–2,Leicester City,Brighton,3,2,2,66.7,0,1.1,1.4,,,,,,,,,,,,,,,,,,,
2021-09-25,Home,D 2–2,Leicester City,Burnley,3,2,2,33.3,0,0.4,0.7,,,,,,,,,,,,,,,,,,,
2021-10-03,Away,D 2–2,Leicester City,Crystal Palace,4,2,2,50,0,0.8,1.3,,,,,,,,,,,,,,,,,,,
2021-10-16,Home,W 4–2,Leicester City,Manchester Utd,6,2,4,66.7,0,0.7,1.4,,,,,,,,,,,,,,,,,,,
2021-10-24,Away,W 2–1,Leicester City,Brentford,5,1,4,80,0,1.1,1.2,,,,,,,,,,,,,,,,,,,
2021-10-30,Home,L 0–2,Leicester City,Arsenal,5,2,3,60,0,1.9,0.9,,,,,,,,,,,,,,,,,,,
2021-11-07,Away,D 1–1,Leicester City,Leeds United,5,1,4,80,0,1.1,1.2,,,,,,,,,,,,,,,,,,,
2021-11-20,Home,L 0–3,Leicester City,Chelsea,7,3,4,57.1,0,2.9,2.4,,,,,,,,,,,,,,,,,,,
2021-11-28,Home,W 4–2,Leicester City,Watford,4,2,3,75,0,2.1,2.7,,,,,,,,,,,,,,,,,,,
2021-12-01,Away,D 2–2,Leicester City,Southampton,7,2,5,71.4,0,1.8,1.5,,,,,,,,,,,,,,,,,,,
2021-12-05,Away,L 1–2,Leicester City,Aston Villa,4,2,2,50,0,1.2,2,,,,,,,,,,,,,,,,,,,
2021-12-12,Home,W 4–0,Leicester City,Newcastle Utd,3,0,3,100,1,0.5,0.7,,,,,,,,,,,,,,,,,,,
2021-12-26,Away,L 3–6,Leicester City,Manchester City,6,6,2,33.3,0,5.1,3.4,,,,,,,,,,,,,,,,,,,
2021-12-28,Home,W 1–0,Leicester City,Liverpool,3,0,3,100,1,1,2.5,,,,,,,,,,,,,,,,,,,
2022-01-19,Home,L 2–3,Leicester City,Tottenham,8,3,5,62.5,0,3.7,3.7,,,,,,,,,,,,,,,,,,,
2022-01-23,Home,D 1–1,Leicester City,Brighton,4,1,3,75,0,1.5,1,,,,,,,,,,,,,,,,,,,
2022-02-10,Away,L 0–2,Leicester City,Liverpool,12,2,10,83.3,0,2.6,2.6,,,,,,,,,,,,,,,,,,,
2022-02-13,Home,D 2–2,Leicester City,West Ham,3,2,1,33.3,0,1.6,0.6,,,,,,,,,,,,,,,,,,,
2022-02-20,Away,L 1–2,Leicester City,Wolves,3,2,1,33.3,0,1.3,0.6,,,,,,,,,,,,,,,,,,,
2022-03-01,Away,W 2–0,Leicester City,Burnley,2,0,2,100,1,0.9,1,,,,,,,,,,,,,,,,,,,
2022-03-05,Home,W 1–0,Leicester City,Leeds United,4,0,4,100,1,1,1.9,,,,,,,,,,,,,,,,,,,
2022-03-13,Away,L 0–2,Leicester City,Arsenal,6,2,5,83.3,0,2.2,2.3,,,,,,,,,,,,,,,,,,,
2022-03-20,Home,W 2–1,Leicester City,Brentford,5,1,4,80,0,1.6,1.4,,,,,,,,,,,,,,,,,,,
2022-04-02,Away,D 1–1,Leicester City,Manchester Utd,5,1,4,80,0,1.1,1.3,,,,,,,,,,,,,,,,,,,
2022-04-10,Home,W 2–1,Leicester City,Crystal Palace,2,1,1,50,0,0.9,1.3,,,,,,,,,,,,,,,,,,,
2022-04-17,Away,L 1–2,Leicester City,Newcastle Utd,6,2,4,66.7,0,1.8,1.4,,,,,,,,,,,,,,,,,,,
2022-04-20,Away,D 1–1,Leicester City,Everton,3,1,2,66.7,0,1.5,1.5,,,,,,,,,,,,,,,,,,,
2022-04-23,Home,D 0–0,Leicester City,Aston Villa,3,0,3,100,1,0,0.6,,,,,,,,,,,,,,,,,,,
2022-05-01,Away,L 1–3,Leicester City,Tottenham,7,3,4,57.1,0,2.8,1.5,,,,,,,,,,,,,,,,,,,
2022-05-08,Home,L 1–2,Leicester City,Everton,4,2,1,50,0,1.7,1.5,,,,,,,,,,,,,,,,,,,
2022-05-11,Home,W 3–0,Leicester City,Norwich City,5,0,5,100,1,0.5,1.2,,,,,,,,,,,,,,,,,,,
2022-05-19,Away,D 1–1,Leicester City,Chelsea,7,1,6,85.7,0,1,1.7,,,,,,,,,,,,,,,,,,,
2022-05-22,Home,W 4–1,Leicester City,Southampton,1,1,1,100,0,0.8,1.2,,,,,,,,,,,,,,,,,,,
,,,,Totals,176,58,125,71.91351351,7,56.3,59.7,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Venue,Result,Squad,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,Opposition xG,,,,,,,,,,,,,,,,,,,
11/09/2021,Home,W 1-0,Arsenal,Norwich City,1,0,1,100,1,0,0.6,,,,,,,,,,,,,,,,,,,
18/09/2021,Away,W 1-0,Arsenal,Burnley,3,0,3,100,1,0.6,1.3,,,,,,,,,,,,,,,,,,,
26/09/2021,Home,W 3-1,Arsenal,Tottenham,4,1,2,75,0,1.1,1,,,,,,,,,,,,,,,,,,,
02/10/2021,Away,D 0-0,Arsenal,Brighton,2,0,2,100,1,0.1,1.4,,,,,,,,,,,,,,,,,,,
18/10/2021,Home,D 2-2,Arsenal,Crystal Palace,6,2,4,66.7,0,1.6,0.9,,,,,,,,,,,,,,,,,,,
22/10/2021,Home,W 3-1,Arsenal,Aston Villa,4,1,3,75,0,1.3,1.4,,,,,,,,,,,,,,,,,,,
30/10/2021,Away,W 2-0,Arsenal,Leicester City,8,0,6,100,1,1.5,1.2,,,,,,,,,,,,,,,,,,,
07/11/2021,Home,W 1-0,Arsenal,Watford,1,0,1,100,1,0,0.7,,,,,,,,,,,,,,,,,,,
20/11/2021,Away,L 0-4,Arsenal,Liverpool,9,4,5,55.6,0,4.4,4.3,,,,,,,,,,,,,,,,,,,
27/11/2021,Home,W 2-0,Arsenal,Newcastle Utd,5,0,4,100,1,0.1,0.2,,,,,,,,,,,,,,,,,,,
02/12/2021,Away,L 2-3,Arsenal,Manchester Utd,9,3,7,77.8,0,2.3,1.9,,,,,,,,,,,,,,,,,,,
06/12/2021,Away,L 1-2,Arsenal,Everton,4,2,2,50,0,0.4,1,,,,,,,,,,,,,,,,,,,
11/12/2021,Home,W 3-0,Arsenal,Southampton,6,0,6,100,1,0.3,0.6,,,,,,,,,,,,,,,,,,,
15/12/2021,Home,W 2-0,Arsenal,West Ham,1,0,1,100,1,0.5,0.3,,,,,,,,,,,,,,,,,,,
18/12/2021,Away,W 4-1,Arsenal,Leeds United,1,1,1,100,0,1,1.6,,,,,,,,,,,,,,,,,,,
26/12/2021,Away,W 5-0,Arsenal,Norwich City,2,0,2,100,1,0.1,0.1,,,,,,,,,,,,,,,,,,,
01/01/2022,Home,L 1-2,Arsenal,Manchester City,1,2,0,0,0,1.6,1.6,,,,,,,,,,,,,,,,,,,
23/01/2022,Home,D 0-0,Arsenal,Burnley,1,0,1,100,1,0,0.4,,,,,,,,,,,,,,,,,,,
10/02/2022,Away,W 1-0,Arsenal,Wolves,4,0,4,100,1,0.2,0.9,,,,,,,,,,,,,,,,,,,
19/02/2022,Home,W 2-1,Arsenal,Brentford,2,1,1,50,0,0.2,0.6,,,,,,,,,,,,,,,,,,,
24/02/2022,Home,W 2-1,Arsenal,Wolves,2,1,1,50,0,0.7,1,,,,,,,,,,,,,,,,,,,
06/03/2022,Away,W 3-2,Arsenal,Watford,7,2,5,71.4,0,1.3,1.5,,,,,,,,,,,,,,,,,,,
13/03/2022,Home,W 2-0,Arsenal,Leicester City,3,0,3,100,1,0.7,0.3,,,,,,,,,,,,,,,,,,,
16/03/2022,Home,L 0-2,Arsenal,Liverpool,3,2,1,33.3,0,1,0.8,,,,,,,,,,,,,,,,,,,
